"0_Код";"1_Наименование рынка";"1_Форма собственности";"1_Управляющая компания";"1_Юридический адрес Управляющей компании";"1_Адрес рынка";"1_Вид рынка"
"1";"Рижский";"ГУП";"«Рижский рынок»";"129110 г. Москва,
Проспект Мира,  д. 88";"Проспект Мира, д.88, стр.1.";"Специализированный (сельскохозяйственный)"
"2";"Усачевский";"ОАО";"Торговый Дом «Усачевский»";"119048 г.Москва, 
ул. Усачева, д.26";"Ул. Усачева, вл. 32-36 (д.32-36)";"Универсальный"
"3";"ИлионТрейд";"ООО";"Фирма «ИЛИОН-ТРЕЙД»";"129110  г. Москва, 
Водопроводный пер., д. 1";"Рижская площадь (Проспект Мира, вл.98)";"Специализированный (радиорынок)
(закрыт на ремонт)"
"4";"Ленинградский";"ЗАО";"«Калужская Управляющая Компания»";"107031 г. Москва, 
ул. Кузнецкий мост, д.7";"Ул. Часовая, вл.11/3, стр.1";"Специализированный (сельскохозяйственный)"
"5";"Слободка";"ООО";"«Парэкс -Бизнес»";"127434 г.Москва, 
Дмитровское шоссе, д.7, корп.2";"Коровинское шоссе, вл.17-19";"Специализированный (сельскохозяйственный)"
"6";"Коптевский";"ОАО";"«Коптевский рынок»";"125239 г.Москва, 
ул. Коптевская, д. 24";"Ул. Коптевская, вл.24";"Специализированный (сельскохозяйственный)"
"7";"РООП ТИАС";"Ассоциа-ция";"Региональная общественная организация предпринимателей «Тиас»";"127238 г.Москва, 
Дмитровское ш., д.40, корп.1";"Локомотивный проезд, напротив вл.3-5";"Специализированный (сельскохозяйственный)"
"8";"Ярославский";"ООО";"«Дмитровсельхозагро»";"141800 Московская обл., Дмитровский район, г. Дмитров, ул. Космонавтов, д.1а";"Проспект Мира, вл.122, корп.1";"Специализированный (продовольственный)"
"9";"Лионозово";"ООО";"""Автохозяйство Лианозово""";"Москва ул. Илимская,д.1";"Лианозовский пр., вл. 1";"Специализированный (сельскохозяйственный)"
"10";"Северный";"ОАО";"«Северный рынок»";"129281 г. Москва, 
ул. Летчика Бабушкина, д.30, стр. 1";"Ул. Летчика Бабушкина, вл.30, стр.1";"Специализированный (сельскохозяйственный)"
"11";"Выхино";"ОАО";"«Рынок «Выхино»";"111538 г.Москва, ул. Вешняковская, д.43";"Ул. Красный Казанец, вл.20";"Специализированный (сельскохозяйственный)"
"12";"Анжелика и компания";"ООО";"«АНЖЕЛИКА КОМПАНИ А»";"111299, Москва, ул Мартеновская, д.3, стр.4";"Пересечение Сиреневого бульвара и 15-й Парковой ул.";"Специализированный (сельскохозяйственный)"
"13";"Новокосинский ТЦ";"ООО";"«Крона-Маркет»";"111141 г. Москва, 
ул. Кусковская, д. 31 А";"Ул. Суздальская, вл. 25 А";"Универсальный"
"14";"Преображенский";"ГУП";"«Преображенский рынок»";"107061 г.Москва, 
ул. Преображенский Вал, д.17";"Ул. Преображенский Вал, вл. 17";"Специализированный (сельскохозяйственный)"
"15";"Измайловский";"ЗАО";"«Измайловский комплекс»";"123001 г.Москва, 
Ермолаевский переулок, д. 22-26, стр. 1";"Ул. 3-я Парковая, вл. 24";"Специализированный (сельскохозяйственный)"
"16";"Жулебино";"ЗАО";"Коммерческо-финансовая компания «ТАМП»";"109377 г.Москва, ул. Академика Скрябина, д. 14, корп. 1.";"МКАД, 8 км, МКАД, 8-9 км";"Специализированный (сельскохозяйственный)"
"17";"Садовод";"ОАО";"«Оптово-розничный рынок «Садовод»";"109429 г.Москва,
 МКАД 14 км (внутренняя сторона), здание 2";"МКАД 14 км (внутренняя сторона), здание 2";"Универсальный"
"18";"Овощной рынок";"ООО";"УК «ТЭН-Делопмент»";"109377, г. Москва, 
Рязанский проспект, д. 32, к. 2";"Ул. Зеленодольская, вл. 40";"Специализированный (сельскохозяйственный)"
"19";"Афганец";"ООО";"«АФГАНЕЦ»";"109462, г. Москва, 
ул. Зеленодольская, вл. 42";"Ул. Зеленодольская, вл. 42";"Специализированный (сельскохозяйственный)"
"20";"Лефортовский";"ОАО";"«Лефортовский рынок»";"111024 г.Москва, 
ул. Авиамоторная, д. 39";"Ул. Авиамоторная, вл. 39";"Специализированный (сельскохозяйственный)"
"21";"ТК Барс-2";"ООО";"«Барс-2»";"140011 Московская область, Люберецкий район, г.Люберцы, ул. Шоссейная, д.2";"Новочеркасский бульвар, вл. 5а";"Специализированный (сельскохозяйственный)"
"22";"ТК Печатники";"ЗАО";"«Фирма «БЛИК»";"109004 г.Москва, 
Тетеринский пер., д. 4/8, стр.2";"Ул. Шоссейная, вл. 1";"Специализированный (сельскохозяйственный)"
"23";"Ярмарка на Люблинской";"ООО";"«Объединение 
АВЕЛ-ЦЕНТР»";"109390 г.Москва, 
ул. Люблинская, вл. 16-18";"Ул. Люблинская, вл. 16-18";"Специализированный (сельскохозяйственный)"
"24";"Люблинский";"ГУП";"«ЛЮБЛИНСКИЙ РЫНОК»";"109390 г.Москва, 
ул. Люблинская, д. 10-12";"Ул. Люблинская, вл. 10-12";"Специализированный (сельскохозяйственный)"
"25";"Велозаводский";"ОАО";"«Велозаводский рынок»";"115280 г.Москва, 
ул. Велозаводская, д. 13";"Ул. Велозаводская, вл. 13";"Специализированный (сельскохозяйственный)"
"26";"Даниловский";"ОАО";"«Даниловский рынок»";"115191  г. Москва, 
ул. Мытная, д.74";"Ул. Мытная, вл.74 (д.74)";"Специализированный (сельскохозяйственный)"
"27";"Москворецкий";"ООО";"«Москворецкий  рынок»";"117556  г. Москва, Симферопольский бульвар, д.11/12";"Ул. Болотниковская д. 12";"Специализированный (сельскохозяйственный)"
"28";"Домодедовский";"ЗАО";"холдинговая компания «Автобан и Ко»";"115583  г. Москва, 
Ореховый бульвар, д. 14, к.3";"Пересечение Каширского шоссе с Ореховым бульваром";"Специализированный (сельскохозяйственный)"
"29";"Царицынский";"ОАО";"«Рыночный комплекс «Царицынский»";"115516  г. Москва, 
ул. Каспийская, д.36";"Ул. Каспийская, вл.36";"Специализированный (сельскохозяйственный)"
"30";"Пражский";"ООО";"«РУС»";"113519 г. Москва, 
ул. Кировоградская, вл. 15А";"Ул. Кировоградская, вл. 15А";"Специализированный (сельскохозяйственный)"
"31";"Обручевский";"ООО";"«Астромус»";"119421 г. Москва, 
Ленинский проспект, д. 99";"Ул. Обручева, вл.11";"Специализированный (сельскохозяйственный)"
"32";"Пеан-СВ";"ООО";"«ПЕАН-СВ»";"117321 г. Москва, 
ул. Профсоюзная, вл. 154 А";"Ул. Профсоюзная, вл. 154 А, стр. 1, 2, 3";"Специализированный (сельскохозяйственный)"
